/home/dvspanos/miniconda3/envs/rded/lib/python3.10/site-packages/torch/cuda/__init__.py:611: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
=> using pytorch pre-trained teacher model 'conv3'
process data from /home/dvspanos/nikos/ca2d/artifacts/rded_sets/bench_cifar100_conv_el2nw30_ipc10
load data successfully
TRAIN Iter 0: loss = 0.019408,	Top-1 err = 97.800000,	Top-5 err = 90.600000,	train_time = 1.103138
TRAIN Iter 1: loss = 0.017727,	Top-1 err = 97.200000,	Top-5 err = 86.800000,	train_time = 0.386500
TRAIN Iter 2: loss = 0.016125,	Top-1 err = 95.000000,	Top-5 err = 83.500000,	train_time = 0.408940
TRAIN Iter 3: loss = 0.015903,	Top-1 err = 94.400000,	Top-5 err = 82.100000,	train_time = 0.391330
TRAIN Iter 4: loss = 0.014969,	Top-1 err = 95.100000,	Top-5 err = 79.900000,	train_time = 0.372040
TRAIN Iter 5: loss = 0.014338,	Top-1 err = 92.800000,	Top-5 err = 76.100000,	train_time = 0.364327
TRAIN Iter 6: loss = 0.013934,	Top-1 err = 94.100000,	Top-5 err = 79.400000,	train_time = 0.371872
TRAIN Iter 7: loss = 0.012951,	Top-1 err = 94.100000,	Top-5 err = 78.700000,	train_time = 0.407840
TRAIN Iter 8: loss = 0.012832,	Top-1 err = 93.100000,	Top-5 err = 77.000000,	train_time = 0.395511
TRAIN Iter 9: loss = 0.012898,	Top-1 err = 92.600000,	Top-5 err = 74.900000,	train_time = 0.413272
TRAIN Iter 10: loss = 0.012173,	Top-1 err = 93.200000,	Top-5 err = 74.700000,	train_time = 0.380201
TRAIN Iter 11: loss = 0.011978,	Top-1 err = 92.800000,	Top-5 err = 73.700000,	train_time = 0.397856
TRAIN Iter 12: loss = 0.011417,	Top-1 err = 89.300000,	Top-5 err = 67.700000,	train_time = 0.442593
TRAIN Iter 13: loss = 0.011298,	Top-1 err = 89.200000,	Top-5 err = 69.100000,	train_time = 0.435477
TRAIN Iter 14: loss = 0.010706,	Top-1 err = 89.800000,	Top-5 err = 69.800000,	train_time = 0.392826
TRAIN Iter 15: loss = 0.010639,	Top-1 err = 88.700000,	Top-5 err = 65.600000,	train_time = 0.422429
TRAIN Iter 16: loss = 0.010343,	Top-1 err = 89.800000,	Top-5 err = 65.300000,	train_time = 0.377525
TRAIN Iter 17: loss = 0.010066,	Top-1 err = 88.300000,	Top-5 err = 67.700000,	train_time = 0.420989
TRAIN Iter 18: loss = 0.009920,	Top-1 err = 88.700000,	Top-5 err = 67.300000,	train_time = 0.352718
TRAIN Iter 19: loss = 0.009793,	Top-1 err = 89.300000,	Top-5 err = 67.100000,	train_time = 0.371227
TRAIN Iter 20: loss = 0.009049,	Top-1 err = 88.800000,	Top-5 err = 64.300000,	train_time = 0.378468
TRAIN Iter 21: loss = 0.009229,	Top-1 err = 89.900000,	Top-5 err = 65.800000,	train_time = 0.371211
TRAIN Iter 22: loss = 0.009078,	Top-1 err = 88.700000,	Top-5 err = 65.200000,	train_time = 0.404384
TRAIN Iter 23: loss = 0.009095,	Top-1 err = 83.400000,	Top-5 err = 56.500000,	train_time = 0.376532
TRAIN Iter 24: loss = 0.008651,	Top-1 err = 89.600000,	Top-5 err = 69.300000,	train_time = 0.391103
TRAIN Iter 25: loss = 0.008632,	Top-1 err = 88.300000,	Top-5 err = 64.000000,	train_time = 0.384546
TRAIN Iter 26: loss = 0.008287,	Top-1 err = 85.600000,	Top-5 err = 59.400000,	train_time = 0.401984
TRAIN Iter 27: loss = 0.007832,	Top-1 err = 85.500000,	Top-5 err = 58.800000,	train_time = 0.396733
TRAIN Iter 28: loss = 0.007971,	Top-1 err = 86.200000,	Top-5 err = 63.400000,	train_time = 0.396691
TRAIN Iter 29: loss = 0.007911,	Top-1 err = 82.600000,	Top-5 err = 56.800000,	train_time = 0.388334
TRAIN Iter 30: loss = 0.007930,	Top-1 err = 85.200000,	Top-5 err = 63.400000,	train_time = 0.387714
TRAIN Iter 31: loss = 0.007980,	Top-1 err = 83.100000,	Top-5 err = 55.800000,	train_time = 0.426823
TRAIN Iter 32: loss = 0.007755,	Top-1 err = 85.000000,	Top-5 err = 63.000000,	train_time = 0.400523
TRAIN Iter 33: loss = 0.007398,	Top-1 err = 82.300000,	Top-5 err = 54.100000,	train_time = 0.409109
TRAIN Iter 34: loss = 0.007457,	Top-1 err = 84.600000,	Top-5 err = 58.300000,	train_time = 0.401915
TRAIN Iter 35: loss = 0.007167,	Top-1 err = 79.900000,	Top-5 err = 55.300000,	train_time = 0.365302
TRAIN Iter 36: loss = 0.006995,	Top-1 err = 81.300000,	Top-5 err = 55.100000,	train_time = 0.407640
TRAIN Iter 37: loss = 0.007186,	Top-1 err = 82.500000,	Top-5 err = 58.400000,	train_time = 0.385494
TRAIN Iter 38: loss = 0.007242,	Top-1 err = 82.800000,	Top-5 err = 55.400000,	train_time = 0.404569
TRAIN Iter 39: loss = 0.006937,	Top-1 err = 79.900000,	Top-5 err = 52.100000,	train_time = 0.403520
TRAIN Iter 40: loss = 0.006659,	Top-1 err = 81.800000,	Top-5 err = 59.700000,	train_time = 0.409310
TRAIN Iter 41: loss = 0.006689,	Top-1 err = 80.800000,	Top-5 err = 52.700000,	train_time = 0.382078
TRAIN Iter 42: loss = 0.007014,	Top-1 err = 84.800000,	Top-5 err = 57.300000,	train_time = 0.393386
TRAIN Iter 43: loss = 0.006641,	Top-1 err = 83.200000,	Top-5 err = 59.600000,	train_time = 0.383025
TRAIN Iter 44: loss = 0.006441,	Top-1 err = 82.700000,	Top-5 err = 54.800000,	train_time = 0.324564
TRAIN Iter 45: loss = 0.006383,	Top-1 err = 81.100000,	Top-5 err = 52.500000,	train_time = 0.417755
TRAIN Iter 46: loss = 0.006891,	Top-1 err = 82.800000,	Top-5 err = 55.800000,	train_time = 0.393929
TRAIN Iter 47: loss = 0.006466,	Top-1 err = 80.700000,	Top-5 err = 56.300000,	train_time = 0.399230
TRAIN Iter 48: loss = 0.006480,	Top-1 err = 81.000000,	Top-5 err = 57.400000,	train_time = 0.368953
TRAIN Iter 49: loss = 0.006601,	Top-1 err = 83.500000,	Top-5 err = 59.900000,	train_time = 0.419141
TRAIN Iter 50: loss = 0.006269,	Top-1 err = 78.300000,	Top-5 err = 51.300000,	train_time = 0.376089
TRAIN Iter 51: loss = 0.006262,	Top-1 err = 80.800000,	Top-5 err = 53.800000,	train_time = 0.378130
TRAIN Iter 52: loss = 0.006200,	Top-1 err = 81.600000,	Top-5 err = 55.900000,	train_time = 0.371826
TRAIN Iter 53: loss = 0.006157,	Top-1 err = 79.600000,	Top-5 err = 51.000000,	train_time = 0.410658
TRAIN Iter 54: loss = 0.006042,	Top-1 err = 78.200000,	Top-5 err = 49.100000,	train_time = 0.500194
TRAIN Iter 55: loss = 0.005973,	Top-1 err = 76.800000,	Top-5 err = 46.400000,	train_time = 0.370613
TRAIN Iter 56: loss = 0.006025,	Top-1 err = 80.000000,	Top-5 err = 56.500000,	train_time = 0.413294
TRAIN Iter 57: loss = 0.005931,	Top-1 err = 78.700000,	Top-5 err = 49.100000,	train_time = 0.409110
TRAIN Iter 58: loss = 0.005704,	Top-1 err = 79.900000,	Top-5 err = 52.800000,	train_time = 0.411517
TRAIN Iter 59: loss = 0.005773,	Top-1 err = 77.400000,	Top-5 err = 49.300000,	train_time = 0.382830
TRAIN Iter 60: loss = 0.005430,	Top-1 err = 77.500000,	Top-5 err = 51.000000,	train_time = 0.411228
TRAIN Iter 61: loss = 0.005576,	Top-1 err = 77.000000,	Top-5 err = 49.500000,	train_time = 0.396695
TRAIN Iter 62: loss = 0.005601,	Top-1 err = 80.000000,	Top-5 err = 52.500000,	train_time = 0.401866
TRAIN Iter 63: loss = 0.005695,	Top-1 err = 79.700000,	Top-5 err = 52.900000,	train_time = 0.411012
TRAIN Iter 64: loss = 0.005624,	Top-1 err = 79.400000,	Top-5 err = 53.200000,	train_time = 0.406421
TRAIN Iter 65: loss = 0.005608,	Top-1 err = 77.200000,	Top-5 err = 50.600000,	train_time = 0.379725
TRAIN Iter 66: loss = 0.005555,	Top-1 err = 76.700000,	Top-5 err = 50.500000,	train_time = 0.410801
TRAIN Iter 67: loss = 0.005514,	Top-1 err = 80.000000,	Top-5 err = 51.500000,	train_time = 0.412693
TRAIN Iter 68: loss = 0.005480,	Top-1 err = 81.000000,	Top-5 err = 56.800000,	train_time = 0.386173
TRAIN Iter 69: loss = 0.005720,	Top-1 err = 79.800000,	Top-5 err = 51.000000,	train_time = 0.393689
TRAIN Iter 70: loss = 0.005247,	Top-1 err = 73.600000,	Top-5 err = 44.700000,	train_time = 0.376212
TRAIN Iter 71: loss = 0.005032,	Top-1 err = 77.800000,	Top-5 err = 50.000000,	train_time = 0.390411
TRAIN Iter 72: loss = 0.005315,	Top-1 err = 76.400000,	Top-5 err = 51.100000,	train_time = 0.399976
TRAIN Iter 73: loss = 0.005515,	Top-1 err = 79.000000,	Top-5 err = 53.500000,	train_time = 0.402088
TRAIN Iter 74: loss = 0.005181,	Top-1 err = 76.700000,	Top-5 err = 47.100000,	train_time = 0.370677
TRAIN Iter 75: loss = 0.005103,	Top-1 err = 76.400000,	Top-5 err = 49.900000,	train_time = 0.412056
TRAIN Iter 76: loss = 0.005186,	Top-1 err = 73.600000,	Top-5 err = 47.500000,	train_time = 0.404865
TRAIN Iter 77: loss = 0.005229,	Top-1 err = 76.700000,	Top-5 err = 50.000000,	train_time = 0.404670
TRAIN Iter 78: loss = 0.005479,	Top-1 err = 80.300000,	Top-5 err = 52.000000,	train_time = 0.339691
TRAIN Iter 79: loss = 0.005206,	Top-1 err = 81.300000,	Top-5 err = 56.800000,	train_time = 0.406773
TRAIN Iter 80: loss = 0.005067,	Top-1 err = 75.700000,	Top-5 err = 47.100000,	train_time = 0.400886
TRAIN Iter 81: loss = 0.005023,	Top-1 err = 75.100000,	Top-5 err = 43.600000,	train_time = 0.383460
TRAIN Iter 82: loss = 0.004758,	Top-1 err = 73.700000,	Top-5 err = 44.100000,	train_time = 0.372715
TRAIN Iter 83: loss = 0.004930,	Top-1 err = 78.800000,	Top-5 err = 54.600000,	train_time = 0.386539
TRAIN Iter 84: loss = 0.004959,	Top-1 err = 79.900000,	Top-5 err = 53.900000,	train_time = 0.414915
TRAIN Iter 85: loss = 0.005212,	Top-1 err = 81.600000,	Top-5 err = 57.200000,	train_time = 0.353133
TRAIN Iter 86: loss = 0.004901,	Top-1 err = 77.600000,	Top-5 err = 50.600000,	train_time = 0.389348
TRAIN Iter 87: loss = 0.005023,	Top-1 err = 79.900000,	Top-5 err = 52.900000,	train_time = 0.357614
TRAIN Iter 88: loss = 0.005012,	Top-1 err = 77.600000,	Top-5 err = 50.900000,	train_time = 0.387068
TRAIN Iter 89: loss = 0.004962,	Top-1 err = 78.100000,	Top-5 err = 49.800000,	train_time = 0.428604
TRAIN Iter 90: loss = 0.004914,	Top-1 err = 76.500000,	Top-5 err = 48.600000,	train_time = 0.384204
TRAIN Iter 91: loss = 0.004825,	Top-1 err = 71.200000,	Top-5 err = 43.000000,	train_time = 0.394330
TRAIN Iter 92: loss = 0.004843,	Top-1 err = 75.200000,	Top-5 err = 50.300000,	train_time = 0.384782
TRAIN Iter 93: loss = 0.004869,	Top-1 err = 74.400000,	Top-5 err = 47.000000,	train_time = 0.389511
TRAIN Iter 94: loss = 0.004707,	Top-1 err = 75.200000,	Top-5 err = 47.800000,	train_time = 0.384094
TRAIN Iter 95: loss = 0.004771,	Top-1 err = 75.200000,	Top-5 err = 49.600000,	train_time = 0.386062
TRAIN Iter 96: loss = 0.004886,	Top-1 err = 77.200000,	Top-5 err = 51.500000,	train_time = 0.383423
