=> using pytorch pre-trained teacher model 'conv4'
process data from /home/dvspanos/nikos/ca2d/artifacts/rded_sets/bench_tin_conv_el2nw10_ipc10
load data successfully
TRAIN Iter 52: loss = 0.004582,	Top-1 err = 95.850000,	Top-5 err = 84.500000,	train_time = 2.414017
TRAIN Iter 53: loss = 0.004704,	Top-1 err = 97.000000,	Top-5 err = 86.500000,	train_time = 2.351991
TRAIN Iter 54: loss = 0.004587,	Top-1 err = 97.000000,	Top-5 err = 86.250000,	train_time = 2.393164
TRAIN Iter 55: loss = 0.004554,	Top-1 err = 95.700000,	Top-5 err = 83.450000,	train_time = 2.387378
TRAIN Iter 56: loss = 0.004669,	Top-1 err = 96.250000,	Top-5 err = 86.750000,	train_time = 2.413123
TRAIN Iter 57: loss = 0.004409,	Top-1 err = 95.800000,	Top-5 err = 85.000000,	train_time = 2.367257
TRAIN Iter 58: loss = 0.004482,	Top-1 err = 95.900000,	Top-5 err = 83.000000,	train_time = 2.347158
TRAIN Iter 59: loss = 0.004606,	Top-1 err = 95.700000,	Top-5 err = 83.600000,	train_time = 2.405151
TRAIN Iter 60: loss = 0.004409,	Top-1 err = 96.650000,	Top-5 err = 85.250000,	train_time = 2.351969
TRAIN Iter 61: loss = 0.004326,	Top-1 err = 96.450000,	Top-5 err = 84.300000,	train_time = 2.383790
TRAIN Iter 62: loss = 0.004271,	Top-1 err = 95.950000,	Top-5 err = 83.500000,	train_time = 2.340874
TRAIN Iter 63: loss = 0.004251,	Top-1 err = 95.350000,	Top-5 err = 82.200000,	train_time = 2.400365
TRAIN Iter 64: loss = 0.004273,	Top-1 err = 96.250000,	Top-5 err = 85.650000,	train_time = 2.357625
TRAIN Iter 65: loss = 0.004278,	Top-1 err = 96.500000,	Top-5 err = 84.950000,	train_time = 2.366524
TRAIN Iter 66: loss = 0.004256,	Top-1 err = 95.450000,	Top-5 err = 84.400000,	train_time = 2.380113
TRAIN Iter 67: loss = 0.004309,	Top-1 err = 95.050000,	Top-5 err = 82.250000,	train_time = 2.386321
TRAIN Iter 68: loss = 0.004141,	Top-1 err = 96.000000,	Top-5 err = 83.700000,	train_time = 2.370965
TRAIN Iter 69: loss = 0.004032,	Top-1 err = 95.150000,	Top-5 err = 81.550000,	train_time = 2.383388
TRAIN Iter 70: loss = 0.004111,	Top-1 err = 95.650000,	Top-5 err = 82.400000,	train_time = 2.237531
TRAIN Iter 71: loss = 0.004217,	Top-1 err = 96.450000,	Top-5 err = 85.750000,	train_time = 2.386169
TRAIN Iter 72: loss = 0.004076,	Top-1 err = 96.250000,	Top-5 err = 83.200000,	train_time = 2.399078
