/home/dvspanos/miniconda3/envs/rded/lib/python3.10/site-packages/torch/cuda/__init__.py:611: UserWarning: Can't initialize NVML
  warnings.warn("Can't initialize NVML")
=> using pytorch pre-trained teacher model 'conv3'
process data from /home/dvspanos/nikos/ca2d/artifacts/rded_sets/bench_cifar100_conv_el2nw10_ipc10
load data successfully
TRAIN Iter 0: loss = 0.018503,	Top-1 err = 98.300000,	Top-5 err = 93.100000,	train_time = 1.098505
TRAIN Iter 1: loss = 0.016461,	Top-1 err = 98.100000,	Top-5 err = 89.600000,	train_time = 0.402789
TRAIN Iter 2: loss = 0.015103,	Top-1 err = 97.800000,	Top-5 err = 88.400000,	train_time = 0.402027
TRAIN Iter 3: loss = 0.015164,	Top-1 err = 96.500000,	Top-5 err = 88.300000,	train_time = 0.410126
TRAIN Iter 4: loss = 0.014436,	Top-1 err = 96.300000,	Top-5 err = 85.400000,	train_time = 0.382874
TRAIN Iter 5: loss = 0.013736,	Top-1 err = 97.500000,	Top-5 err = 87.200000,	train_time = 0.384243
TRAIN Iter 6: loss = 0.013017,	Top-1 err = 96.700000,	Top-5 err = 86.600000,	train_time = 0.378227
TRAIN Iter 7: loss = 0.012690,	Top-1 err = 96.700000,	Top-5 err = 86.700000,	train_time = 0.408954
TRAIN Iter 8: loss = 0.012436,	Top-1 err = 95.300000,	Top-5 err = 83.400000,	train_time = 0.394780
TRAIN Iter 9: loss = 0.011858,	Top-1 err = 95.700000,	Top-5 err = 83.200000,	train_time = 0.392953
TRAIN Iter 10: loss = 0.011730,	Top-1 err = 94.800000,	Top-5 err = 82.500000,	train_time = 0.387812
TRAIN Iter 11: loss = 0.011567,	Top-1 err = 95.700000,	Top-5 err = 82.200000,	train_time = 0.375247
TRAIN Iter 12: loss = 0.010870,	Top-1 err = 94.600000,	Top-5 err = 78.000000,	train_time = 0.375835
TRAIN Iter 13: loss = 0.010646,	Top-1 err = 95.200000,	Top-5 err = 79.200000,	train_time = 0.400896
TRAIN Iter 14: loss = 0.010535,	Top-1 err = 95.100000,	Top-5 err = 82.100000,	train_time = 0.384397
TRAIN Iter 15: loss = 0.010031,	Top-1 err = 92.500000,	Top-5 err = 76.000000,	train_time = 0.383904
TRAIN Iter 16: loss = 0.009769,	Top-1 err = 93.800000,	Top-5 err = 76.400000,	train_time = 0.384905
TRAIN Iter 17: loss = 0.009579,	Top-1 err = 94.100000,	Top-5 err = 79.100000,	train_time = 0.381495
TRAIN Iter 18: loss = 0.009635,	Top-1 err = 93.200000,	Top-5 err = 78.100000,	train_time = 0.383887
TRAIN Iter 19: loss = 0.009526,	Top-1 err = 93.900000,	Top-5 err = 76.200000,	train_time = 0.417741
TRAIN Iter 20: loss = 0.008945,	Top-1 err = 93.500000,	Top-5 err = 75.800000,	train_time = 0.383167
TRAIN Iter 21: loss = 0.008961,	Top-1 err = 93.300000,	Top-5 err = 73.600000,	train_time = 0.391914
TRAIN Iter 22: loss = 0.008486,	Top-1 err = 93.100000,	Top-5 err = 74.300000,	train_time = 0.392543
TRAIN Iter 23: loss = 0.008405,	Top-1 err = 92.200000,	Top-5 err = 73.700000,	train_time = 0.370754
TRAIN Iter 24: loss = 0.008679,	Top-1 err = 94.200000,	Top-5 err = 77.700000,	train_time = 0.352785
TRAIN Iter 25: loss = 0.008423,	Top-1 err = 92.000000,	Top-5 err = 74.100000,	train_time = 0.414972
TRAIN Iter 26: loss = 0.008078,	Top-1 err = 92.100000,	Top-5 err = 73.300000,	train_time = 0.431744
TRAIN Iter 27: loss = 0.008219,	Top-1 err = 93.500000,	Top-5 err = 72.300000,	train_time = 0.398044
TRAIN Iter 28: loss = 0.007841,	Top-1 err = 92.800000,	Top-5 err = 73.800000,	train_time = 0.436858
TRAIN Iter 29: loss = 0.007771,	Top-1 err = 90.900000,	Top-5 err = 67.700000,	train_time = 0.378282
TRAIN Iter 30: loss = 0.007685,	Top-1 err = 92.000000,	Top-5 err = 73.500000,	train_time = 0.384632
TRAIN Iter 31: loss = 0.007590,	Top-1 err = 92.500000,	Top-5 err = 72.900000,	train_time = 0.350168
TRAIN Iter 32: loss = 0.007221,	Top-1 err = 92.000000,	Top-5 err = 72.400000,	train_time = 0.399361
TRAIN Iter 33: loss = 0.007158,	Top-1 err = 90.400000,	Top-5 err = 69.700000,	train_time = 0.396093
TRAIN Iter 34: loss = 0.007073,	Top-1 err = 91.900000,	Top-5 err = 69.200000,	train_time = 0.385765
TRAIN Iter 35: loss = 0.007393,	Top-1 err = 91.200000,	Top-5 err = 71.800000,	train_time = 0.425396
TRAIN Iter 36: loss = 0.006824,	Top-1 err = 90.100000,	Top-5 err = 68.900000,	train_time = 0.370601
